,,,,asp,0.6,1,,4,1,,gräs,,,,
,,,,asp,1.5,1,,13,,,revfibbla?,5,,,
,,,,rönn,0.6,1,,4,,,skogsstjärna,,,,
,,,,rönn,1,1,,13,,,,,,,
,,,,rönn,0.8,1,,5,,,,,,,
,,,,björk,0.5,1,,3,,,,,,,
,,,,björk,0.9,1,,3,,,,,,,
,,,,tall,79,3,,,,,,,,,
261,650738,6625685,635,asp,2.1,1,,17,,9,blåbär,50,,0,
,,,,rönn (5st),0.9,1,,6,1,,vitsippa,20,,,
,,,,asp,1,1,,10,,,väggmossa,20,,,
,,,,rönn,0.6,1,,6,,,bergslok,5,,,
,,,,rönn,0.9,1,,9,,,,,,,
260,650702,6625690,635,tall,97,3,stor gran,,,,kvastmossa,30,,0,mitt i rötter
,,,,en,2,1,sammanhängande,,,,fårsvingel,30,,,
,,,,en,2.5,1,,,,,väggmossa,30,,,
,,,,en,2.2,1,,,,,,,,,
259,650696,6625716,633,gran,4.3,1,,11,,5,fårsvingel,5,,0,
,,,,tall,80,3,,,,,väggmossa,80,,,
,,,,tall,0.5,1,,,,,grå renlav,5,,,
,,,,tall,0.6,1,,,,,kvastmossa,5,,,
242,650487,6625793,635,tall,107,3,1,,,5,väggmossa,85,ko,1,
,,,,björk,0.3,1,stubbe,3,,,blåbär,10,rådjur,1,
,,,,gran,0.4,1,,,,,fårsvingel,5,,,
,,,,björk,0.4,1,,3,,,,,,,
,,,,rönn,0.8,1,,14,,,,,,,
,,,,rönn,0.7,1,,5,,,,,,,
241,650451,6625783,635,tall,70,3,,,,10,blåbär,60,,0,
,,,,tall,48,3,,,,,fårsvingel,5,,,
,,,,en,2.7,1,,,,,husmossa,30,,,
,,,,rönn,0.4,1,,1,,,väggmossa,5,,,
,,,,rönn,0.3,1,,1,,,,,,,
240,650420,6625788,633,björk,1.4,1,,11,,1,kvastmossa,70,,0,spray
,,,,,,,,,,,fönsterlav,10,,,
,,,,,,,,,,,björnmossa,5,,,
248,650417,6625753,635,ek (4st),0.4,1,,5,,7,blåbär,30,ko,2,
,,,,ek,0.5,1,,4,,,väggmossa,,,,
,,,,ek,0.4,1,,4,,,fårsvingel,,,,
,,,,rönn (4st),0.4,1,,3,,,lingon,5,,,
,,,,rönn,0.7,1,,4,,,örnbräken,,,,
,,,,rönn,0.8,1,,8,,,,,,,
,,,,tall,102,3,,,,,,,,,
,,,,en,1.7,1,,,,,,,,,
,,,,en,1.2,1,,,,,,,,,
247,650377,6625755,633,asp (8st),1.4,1,små asp,7,,,blåbär,20,,0,
,,,,asp,2.5,1,,45,,,grå renlav,5,,,
,,,,asp,1.3,1,,11,,,liljekonvalj,5,,,
,,,,rönn,0.7,1,,6,2,,kvastmossa,,,,
,,,,tall,75,3,,,,,fårsvingel,5,,,
239,650380,6625788,633,björk,71,3,,,,6,blåbär,50,,,
,,,,rönn,0.3,1,,2,,,lingon,10,,0,
,,,,,,,,,,,"trattlav, cladonoia",,,,
,,,,,,,,,,,kvastmossa,30,,,
238,650346,6625796,633/35,rönn (17st),0.5,1,,2,,,blåbär,40,,0,blåvinge
,,,,rönn  ,0.5,1,,5,,,lingon,40,,,
,,,,rönn  ,0.6,1,,4,,,väggmossa,20,,,
