220,650591,6625863
221,650626,6625858
222,650662,6625862
223,650695,6625862
236,650699,6625827
235,650664,6625824
234,650626,6625824
233,650588,6625823
243,650624,6625792
244,650662,6625790
245,650698,6625787
252,650732,6625756
251,650709,6625744
250,650665,6625754
256,650734,6625718
261,650738,6625685
260,650702,6625690
259,650696,6625716
242,650487,6625793
241,650451,6625783
240,650420,6625788
248,650417,6625753
247,650377,6625755
239,650380,6625788
238,650346,6625796
237,650309,6625793
75,650102,6626105
74,650067,6626104
73,650028,6626103
72,650003,6626113
71,649957,6626106
86,650031,6626070
85,650000,6626072
103,650031,6626034
104,650067,6626034
105,650102,6626035
126,650068,6626000
125,650030,6626000
59,649925,6626141
60,649960,6626141
61,649998,6626141
62,650031,6626140
88,650103,6626069
87,650066,6626069
52,650136,6626177
51,650098,6626175
50,650067,6626171
49,650032,6626177
48,649996,6626174
47,649962,6626174
150,650029,6625966
149,649996,6625965
148,649961,6625965
147,649928,6625964
146,649891,6625967
145,649856,6625966
169,649892,6625929
170,649927,6625930
171,649958,6625928
172,649996,6625929
191,649964,6625898
190,649928,6625896
33,649930,6626212
34,649960,6626210
35,649997,6626210
36,650032,6626212
37,650065,6626214
38,650097,6626206
39,650139,6626208
40,650170,6626202
41,650205,6626213
42,650251,6626200
67,650556,6626138
68,650592,6626139
69,650626,6626140
107,650174,6626032
108,650205,6626036
109,650242,6626036
110,650277,6626035
111,650311,6626035
112,650346,6626035
113,650384,6626039
114,650420,6626032
115,650458,6626032
116,650488,6626034
117,650522,6626035
118,650562,6626036
119,650590,6626035
120,650629,6626037
121,650661,6626035
122,650698,6626033
123,650731,6626034
124,650766,6626036
90,650277,6626070
91,650311,6626070
92,650346,6626070
93,650381,6626071
källa,650407,6626064
95,650453,6626069
96,650487,6626070
97,650522,6626069
98,650556,6626070
99,650589,6626070
100,650626,6626069
101,650661,6626071
102,650698,6626072
84,650662,6626106
83,650627,6626105
78,650452,6626107
77,650418,6626105
76,650384,6626103
66,650522,6626141
54,650203,6626177
53,650174,6626175
29,650279,6626242
28,650242,6626243
27,650204,6626238
26,650247,6626172
25,650133,6626244
24,650102,6626242
23,650071,6626244
22,650030,6626250
21,650000,6626247
20,649960,6626246
19,649929,6626248
8,649923,6626279
9,649957,6626277
10,649996,6626276
11,650030,6626278
12,650073,6626279
13,650100,6626275
14,650138,6626277
15,650178,6626280
16,650212,6626282
17,650244,6626281
6,650139,6626313
5,650100,6626322
4,650067,6626315
3,650032,6626326
2,649995,6626315
1,649965,6626318
55,650521,6626175
56,650557,6626175
57,650591,6626177
58,650628,6626174
70,650662,6626142
45,650624,6626211
44,650590,6626209
43,650558,6626212
30,650556,6626244
31,650591,6626246
32,650625,6626244
144,650769,6626000
143,650732,6626003
142,650695,6626001
141,650652,6625993
139,650588,6625993
138,650552,6626003
137,650519,6626004
136,650485,6625997
135,650450,6625997
134,650417,6625997
133,650382,6625998
132,650344,6625997
131,650311,6625997
130,650272,6626001
129,650246,6625999
128,650207,6625997
127,650172,6625998
151,650172,6625961
152,650205,6625965
153,650242,6625964
154,650277,6625966
155,650312,6625964
156,650346,6625966
157,650382,6625965
158,650419,6625965
159,650456,6625964
160,650487,6625963
161,650524,6625961
162,650556,6625966
163,650593,6625965
164,650628,6625964
165,650661,6625966
166,650701,6625964
167,650731,6625963
168,650764,6625963
189,650733,6625931
188,650694,6625927
187,650663,6625926
186,650624,6625929
185,650588,6625930
184,650555,6625928
183,650519,6625930
182,650485,6625929
181,650452,6625935
180,650418,6625928
179,650381,6625933
178,650348,6625926
177,650310,6625929
176,650277,6625932
173,650171,6625932
174,650208,6625932
175,650249,6625935
195,650276,6625895
196,650311,6625895
197,650346,6625896
198,650381,6625895
199,650417,6625896
200,650452,6625896
201,650486,6625893
217,650488,6625857
216,650451,6625860
215,650416,6625861
214,650381,6625860
213,650344,6625860
212,650313,6625860
211,650275,6625858
210,650241,6625862
194,650239,6625897
193,650205,6625895
224,650278,6625825
225,650310,6625823
226,650344,6625828
227,650380,6625828
228,650414,6625830
229,650449,6625826
230,650489,6625829
231,650523,6625819
218,650521,6625865
202,650518,6625893
203,650555,6625899
204,650592,6625891
82,650591,6626106
81,650557,6626106
80,650522,6626104
79,650487,6626105
