650591,6625863
650626,6625858
650662,6625862
650695,6625862
650699,6625827
650664,6625824
650626,6625824
650588,6625823
650624,6625792
650662,6625790
650698,6625787
650732,6625756
650709,6625744
650665,6625754
650734,6625718
650738,6625685
650702,6625690
650696,6625716
650487,6625793
650451,6625783
650420,6625788
650417,6625753
650377,6625755
650380,6625788
650346,6625796
650309,6625793
650102,6626105
650067,6626104
650028,6626103
650003,6626113
649957,6626106
650031,6626070
650000,6626072
650031,6626034
650067,6626034
650102,6626035
650068,6626000
650030,6626000
649925,6626141
649960,6626141
649998,6626141
650031,6626140
650103,662669
650066,6626069
650136,6626177
650098,6626175
650067,6626171
650032,6626177
649996,6626174
649962,6626174
650029,6625966
649996,6625965
649961,6625965
649928,6625964
649891,6625967
649856,6625966
649892,6625929
649927,6625930
649958,6625928
649996,6625929
649964,6625898
649928,6625896
649930,626212
649960,6626212
649997,6626210
650032,6626212
650065,6626214
650097,6626206
650139,6626208
650170,6626202
650205,6626213
650251,6626200
650556,6626138
650592,6626139
650626,6626140
650174,6626032
650205,6626036
650242,6626036
650277,6626035
650311,6626035
650346,6626035
650384,6626039
650420,6626032
650458,6626032
650488,6626034
650522,6626035
650562,6626036
650500,6626035
650629,6626037
650661,662035
650698,662033
650731,662034
650766,6626036
650277,6626070
650311,6626070
650346,6626070
650381,6626071
650407,6626064
650453,6626069
650487,6626070
650522,6626069
650556,662070
650589,6626070
650626,6626069
650661,6626071
650698,6626072
650662,6626106
650627,6626105
650452,6626107
650418,6626105
650384,6626103
650522,6626141
650203,6626177
650174,6626175
650279,6626242
650242,6626243
650204,6626238
650247,6626172
650133,6626144
650102,6626242
650071,6626244
650030,6626250
650000,6626247
649960,6626246
649929,6626248
649923,6626279
649957,6626277
649996,6626276
650030,6626278
650073,6626279
650100,6626275
650138,6626277
650178,6626280
650212,6626282
650244,6626281
650139,6626313
650100,6626322
650067,6626315
650032,6626326
649995,6626315
649965,6626318
650521,6626175
650577,6626175
650591,6626177
650628,6626174
650662,6626142
650624,6626211
650590,6626209
650558,6626212
650556,6626244
650591,6626246
650625,6626244
650769,6626000
650732,6626003
650695,6626001
650652,6625993
650588,6625993
650552,6626003
650519,6626004
650485,6625997
650450,6625997
650417,6625997
650382,6625998
650344,6625997
650377,6625997
650272,6626001
650246,6625999
650207,6625997
650172,6625998
650172,6625961
650205,6625965
650242,6625964
650277,6625966
650312,6625964
650346,6625966
650382,6625965
650419,6625965
650456,6625964
650487,6625963
650524,6625961
650556,6625966
650593,6625965
650628,6625964
650661,6625966
650731,6625963
650764,6625963
650733,6625931
650654,6625927
650663,6625926
650624,6625929
650588,6625930
650555,6625928
650519,6625930
650485,6625929
650452,6625935
650418,6625928
650381,6625933
650348,6625926
650310,6625929
650277,6625932
650171,6625932
650208,6625932
650249,6625935
650276,6625895
650311,6625895
650316,6625896
650381,6625895
650417,6625896
650452,6625896
650486,6625893
650488,6625857
650451,6625860
650416,6625861
650381,6625860
650344,6625860
650313,6625860
650275,6625858
650241,6625862
650239,6625897
650205,6625895
650278,6625825
650310,6625823
650344,6625828
650380,6625828
650414,6625830
650449,6625826
650489,6625829
650523,6625819
650521,6625865
650518,6625893
650555,6625899
650592,6625891
650519,6626106
650557,6626106
650522,662104
650487,6626105
